Yes/No,Site,Site Code,City,Country/Region,State/Province,ZIP/Postal Code,3 Digit Zip
,FFS PURCHASING -MIDLAND ACCENT,0070310033,MIDLAND,USA,TX,79703,797
,FHCA,0010479615,ALLEN,USA,TX,75013,750
,FIBROID INSTITUDE DALLAS,0010479928,DALLAS,USA,TX,75230,752
,FIDELITY NATIONAL FINANCIAL,0010494121,EL PASO,USA,TX,79912,799
,FIELD INDUSTRIES,0073560001,HOUSTON,USA,TX,77041,770
,FILAMAR ENERGY SERVICES-PERMIA,0010479504,ODESSA,USA,TX,79766,797
,FILIS LAW FIRM-5600 NW CENTRAL,0073562001,HOUSTON,USA,TX,77092,770
,FINANCIAL CORP OF AMERICA-1251,0073563001,AUSTIN,USA,TX,78759,787
,FIND PIG TAILS-9215 THOMASVILL,0073564001,HOUSTON,USA,TX,77064,770
,FINFEATHER GROCERY-2208 FINFEA,0073566001,BRYAN,USA,TX,77801,778
,FINISHED WORK ROOFING & CONSTR,0010480099,BURLESON,USA,TX,76028,760
,FINISHLINE PERFORMANCE,0010479368,LUBBOCK,USA,TX,79424,794
,FIREEYE DALLAS,0029125509,DALLAS,USA,TX,75225,752
,FIRESIDE CHICKEN,0010479779,ROCKWALL,USA,TX,75087,750
,FIRST AMER TITLE HOMEBUILDER S,0091952001,CEDAR PARK,USA,TX,78613,786
,FIRST BANK & TRUST,0010480647,MEMPHIS,USA,TX,79245,792
,FIRST BAPTIST CHURCH,0010480576,COPPERAS COVE,USA,TX,76522,765
,FIRST BAPTIST CHURCH BURKBURNE,0010480283,BURKBURNETT,USA,TX,76354,763
,FIRST BAPTIST CHURCH ODONNELL,0010479302,ODONNELL,USA,TX,79351,793
,FIRST BAPTIST MEDICAL CENTER,0010479933,DALLAS,USA,TX,75231,752
,FIRST FINANCIAL BANK-912 N 16T,0091953001,ORANGE,USA,TX,77630,776
,FIRST FINANCIAL BANK-960 N MAI,0091953003,VIDOR,USA,TX,77662,776
,FIRST FINANCIAL BANK-HOUSTON-2,0091953002,HUNTSVILLE,USA,TX,77320,773
,FIRST HORIZON BANK-3810 RICHMO,0091954001,HOUSTON,USA,TX,77027,770
,FIRST NATIONAL,0010480578,GATESVILLE,USA,TX,76528,765
,FIRST NATIONAL BANK 311-2129 W,0091955001,VICTORIA,USA,TX,77901,779
,FIRST NATIONAL BANK CHURCH ST,0019194001,LIVINGSTON,USA,TX,77351,773
,FIRST NATIONAL BANK TEXAS,0019194002,CONROE,USA,TX,77301,773
,FIRST NATIONAL HWY 190,0019194003,LIVINGSTON,USA,TX,77351,773
,FIRST NATIONAL-100 COMM,0019194004,EAGLE LAKE,USA,TX,77434,774
,FIRST NATIONAL-100 E MAIN ST,0019194005,BELLVILLE,USA,TX,77418,774
,FIRST NATIONAL-489 HIGH,0019194006,BASTROP,USA,TX,78602,786
,FIRST NATIONAL-6404 RAILROAD S,0019194007,WALLIS,USA,TX,77485,774
,FIRST PRESBYTERIAN CHURCH,0010480427,AMARILLO,USA,TX,79101,791
,FIRST SOURCE TITLE,0010479789,PLANO,USA,TX,75093,750
,FIRST ST CHURCH,0010480389,DUMAS,USA,TX,79029,790
,FIRST STATE BANK OFCANADIAN T,0010480383,CANADIAN,USA,TX,79014,790
,FIRST STATE BANK-117 E 1ST ST,0019197001,WALLIS,USA,TX,77485,774
,FIRST TEXAS BANK-480 DEL WEBB,0019004001,GEORGETOWN,USA,TX,78633,786
,FIRST UNITED BANK,0010480428,AMARILLO,USA,TX,79101,791
,FIRST UNITED BANK,0010480676,SEMINOLE,USA,TX,79360,793
,FIRST UNITED METHODIST C-407,0019012001,VICTORIA,USA,TX,77901,779
,FIRST UNITED METHODIST CHURCH,0010480533,LUFKIN,USA,TX,75901,759
,FIRST UNITED METHODIST CHURCH,0019012002,MARBLE FALLS,USA,TX,78654,786
,FIRST UNITED METHODIST CHURCH-,0091956001,HUNTSVILLE,USA,TX,77320,773
,FIRST UNITED METHODIST-102 S M,0019012003,MADISONVILLE,USA,TX,77864,778
,FISCHER TILE & CARPET-2221 S M,0019013001,BRENHAM,USA,TX,77833,778
,FISH AND STILL EQUIPMENT I,0010480538,NACOGDOCHES,USA,TX,75964,759
,FITZ ROOFING-4211 SPRING CYPRE,0019014001,SPRING,USA,TX,77388,773
,FLEET PRIDE,0010480624,AMARILLO,USA,TX,79102,791
,FLEET PRIDE-707 W FERGUSON AV,0019015001,PHARR,USA,TX,78577,785
,FLEET PRIDE-NEW BRAUNFELS,0019015002,NEW BRAUNFELS,USA,TX,78132,781
,FLEETPRIDE MICRO MARKET,0055412801,IRVING,USA,TX,75039,750
,FLOORING SERVICES-10555 W SAM,0019016001,HOUSTON,USA,TX,77064,770
,FLOR AND ASSOCIATES INSURANCE,0010494024,EL PASO,USA,TX,79902,799
,FLOR AND ASSOCIATES INSURANCE,0010494079,EL PASO,USA,TX,79902,799
,FLORESVILLE I.S.D.,0016246001,FLORESVILLE,USA,TX,78114,781
,FLOWER BAKING COMPANY,0010494063,EL PASO,USA,TX,79901,799
,FLOWER SHOP EL CHAPIN,0010480058,ARLINGTON,USA,TX,76010,760
,FOLLETT 609,0010479870,DALLAS,USA,TX,75202,752
,FORD MOTOR CREDIT IRVING VEND,0012290603,IRVING,USA,TX,75063,750
,FORDYCE CO-BRIGGS MA-1902 FM 1,0019017001,VICTORIA,USA,TX,77901,779
,FOREMOST PAVING-22630 FM 88 N,0019018001,ELSA,USA,TX,78543,785
,FORMER MMHS MGRS,0070305248,IRVING,USA,TX,75038,750
,FORT STOCKTON,0010479466,FORT STOCKTON,USA,TX,79735,797
,FORT WORTH IND SCHOOL DISTRICT,0049474001,FORT WORTH,USA,TX,76164,761
,FORT WORTH ISD CATERING,0049474003,FORT WORTH,USA,TX,76116,761
,FORT WORTH ISD HOURLY,0049474002,FORT WORTH,USA,TX,76164,761
,FORT WORTH PRESBYTERIAN C,0010480215,FORT WORTH,USA,TX,76132,761
,FOSTER PAVILION,0034116003,WACO,USA,TX,76706,767
,FOSTERS TREE SERVICE,0019019001,HOUSTON,USA,TX,77050,770
,FOUNDATION ENERGY SERVICES,0010479374,SNYDER,USA,TX,79549,795
,FOUNDATION ENERGY SERVICES,0010480660,LAMESA,USA,TX,79331,793
,FOUNDATION ENERGY SERVICES,0010480725,BIG SPRING,USA,TX,79720,797
,FOXWORTH GALBRAITH #29,0010494171,EL PASO,USA,TX,79915,799
,FOXWORTH GALBRAITH #29,0010494314,EL PASO,USA,TX,79915,799
,FOXWORTH GALBRAITH 29,0010494154,EL PASO,USA,TX,79915,799
,FRANCESCAS COLLECTIONS,0010479369,LUBBOCK,USA,TX,79424,794
,FRANCESCAS COLLECTIONS-29300 H,0019023001,CYPRESS,USA,TX,77433,774
,FRANK & STINE-9907 STATE HWY 6,0019007001,SUGAR LAND,USA,TX,77478,774
,FRANK FEUILLE DDS,0010494143,EL PASO,USA,TX,79912,799
,FRANKE REALTORS-8605 PADRE BLV,0019022001,SOUTH PADRE ISLAND,USA,TX,78597,785
,FRANKLIN AND CONSTRUCTION LTD,0010494092,EL PASO,USA,TX,79905,799
,FREDY KIA-11711 GULF FWY,0019024001,HOUSTON,USA,TX,77034,770
,FREEDMAN METALS INC,0010479937,DALLAS,USA,TX,75233,752
,FRIGELAR NORTH AMERICA DBA FIS,0010480314,KILLEEN,USA,TX,76542,765
,FRIO COUNTY DISTRICT CLERK,0019025001,PEARSALL,USA,TX,78061,780
,FRIONA TEXAS FED CREDIT UNION,0010480398,FRIONA,USA,TX,79035,790
,FRITO LAY COMPANY STORE,0040146008,PLANO,USA,TX,75024,750
,FRITO LAY TRAFFIC-4855 GREATLA,0019026001,SAN ANTONIO,USA,TX,78218,782
,FRITO LAY-CAFETERIA,0040146001,PLANO,USA,TX,75024,750
,FRITO LAY-COFFEE SERVICE,0040146005,PLANO,USA,TX,75024,750
,FRITO LAY-VENDING,0040146306,PLANO,USA,TX,75024,750
,FRITOS EDUARDO,0010479872,DALLAS,USA,TX,75203,752
,FRONTLINE FOOD SERVICES LLC,0079301140,PFLUGERVILLE,USA,TX,78660,786
,FROZEN LOGISTICS,0019027001,TAYLOR,USA,TX,76574,765
,FUJI RAMEN-2451 GULF FWY S,0019029001,LEAGUE CITY,USA,TX,77573,775
,FULL THROTTLE TIRES,0010526165,AMARILLO,USA,TX,79119,791
,"FULLER 15415 KF, LTD",0052858801,HOUSTON,USA,TX,77094,770
,FUR BABY,0010480224,FORT WORTH,USA,TX,76137,761
,FUSION ACADEMY AND LEARNING,0010479934,DALLAS,USA,TX,75231,752
,FUSION ACADEMY AND LEARNING CE,0010480159,SOUTHLAKE,USA,TX,76092,760
,FUSION ACADEMY-1201 LAKE WOODL,0073568001,SPRING,USA,TX,77380,773
,FUSION WASTE & RECYCLING,0010479857,WILMER,USA,TX,75172,751
,FWISD FFVP,0049474011,FORT WORTH,USA,TX,76164,761
,FWISD FINANCE,0049474100,FORT WORTH,USA,TX,76116,761
,FWISD WAREHOUSE,0049474012,FORT WORTH,USA,TX,76164,761
,FWISD ZONE 1,0049474004,FORT WORTH,USA,TX,76116,761
,FWISD ZONE 2,0049474005,FORT WORTH,USA,TX,76116,761
,FWISD ZONE 3,0049474006,FORT WORTH,USA,TX,76116,761
,FWISD ZONE 4,0049474007,FORT WORTH,USA,TX,76116,761
,FWISD ZONE 5,0049474008,FORT WORTH,USA,TX,76116,761
,FWISD ZONE 6,0049474009,FORT WORTH,USA,TX,76116,761
,FWISD ZONE 7,0049474010,FORT WORTH,USA,TX,76116,761
,FWISD ZONE 8,0049474013,FORT WORTH,USA,TX,76164,761
,GAB OPERATIONS LLC-102 VIDAL C,0073569001,LAREDO,USA,TX,78045,780
,GABRIEL JORDAN FORD-2400 U S H,0019031001,LIVINGSTON,USA,TX,77351,773
,GARCIA AUTOMOTIVE,0010494199,EL PASO,USA,TX,79925,799
,GARCIA AUTOMOTIVE,0010494200,EL PASO,USA,TX,79925,799
,GARDEN OAKS FUNERAL HOME-13430,0019032001,HOUSTON,USA,TX,77083,770
,GATES DE PROVENCE CARE OF DE,0010479996,DALLAS,USA,TX,75287,752
,GATEWAY BAPTIST CHURCH-2930,0019033001,SPRING,USA,TX,77386,773
,GATEWAY TIRE,0010480537,LUFKIN,USA,TX,75904,759
,GATLIN CUSTOM SERVICES,0010480491,DALLAS,USA,TX,75218,752
,GDC MICRO MARKET,0020172801,FORT WORTH,USA,TX,76177,761
,GDC TECHNICS PANTRY,0020172501,FORT WORTH,USA,TX,76177,761
,GE AERO MICRO MARKET,0033135801,HOUSTON,USA,TX,77015,770
,GE AEROSPACE,0010479173,FORT WORTH,USA,TX,76155,761
,GE CLAY ROAD,0080135401,HOUSTON,USA,TX,77041,770
,GE ENERGY SVS,0033135401,HOUSTON,USA,TX,77015,770
,GE ENERGY VENDING,0033135402,HOUSTON,USA,TX,77015,770
,GEC SUPPORT RAMANI,0050067015,CONROE,USA,TX,77385,773
,GEC TX SUPPORT,0050067003,GARLAND,USA,TX,75041,750
,GEC TX SUPPORT - WOODS,0050067011,JOSHUA,USA,TX,76058,760
,GECKO GREEN,0010479731,IRVING,USA,TX,75063,750
,GECKO GREEN,0010480174,FORT WORTH,USA,TX,76106,761
,GEM SEAL OF TEXAS,0010480497,DALLAS,USA,TX,75233,752
,GEMAIRE,0010480077,ARLINGTON,USA,TX,76014,760
,GEMAIRE-5277 OLD BROWNSVILLE R,0019034002,CORPUS CHRISTI,USA,TX,78405,784
,GEMAIRE-8708 W LITTLE YORK RD,0019034003,HOUSTON,USA,TX,77040,770
,GEMAIRE-9200 WATERFORD CENTRE,0019034004,AUSTIN,USA,TX,78758,787
,GEMAIRE-HOUSTON-806 HARRIS AVE,0019034005,PASADENA,USA,TX,77506,775
,GEMINI INK,0019035001,SAN ANTONIO,USA,TX,78205,782
,GENERAL ELECTRIC,0010480370,BIG LAKE,USA,TX,76932,769
,GENERAL FLOWER MARKET,0010494084,EL PASO,USA,TX,79903,799
,GENERAL PLASTIC AND COMPOSITES,0019036001,HOUSTON,USA,TX,77087,770
,GENESIS CUSTOM CHEM BLENDING,0010479421,MIDLAND,USA,TX,79706,797
,GENLYTE THOMAS GROUP LLC-1611,0019037001,SAN MARCOS,USA,TX,78666,786
,GEO H LEWIS AND SONS FUNERAL H,0019038001,HOUSTON,USA,TX,77057,770
,GEO REENTRY SERVICES-10950 BEA,0019039001,HOUSTON,USA,TX,77078,770
,GEONAMIC SYSTEMS INC-12012 WIC,0019041001,HOUSTON,USA,TX,77079,770
,GEOSOLUTIONS INC,0010480459,GRAND PRAIRIE,USA,TX,75050,750
,GERMAN AUTO WORKS,0010480265,GAINESVILLE,USA,TX,76240,762
,GIBSON ENERGY,0010479511,WINK,USA,TX,79789,797
,GIFTS AND MORE-511 10TH ST,0019051001,HEMPSTEAD,USA,TX,77445,774
,GLASHEEN VALLES AND INDERMAN,0010480693,LUBBOCK,USA,TX,79401,794
,GLASSCOCK CO. CLERK,0010479469,GARDEN CITY,USA,TX,79739,797
,GLATZ GROUP LLC-400 E DOVE AVE,0019052001,MCALLEN,USA,TX,78504,785
,GLIDDEN   PPG,0010479493,ODESSA,USA,TX,79764,797
,GLIDDEN   PPG,0010479605,CARROLLTON,USA,TX,75006,750
,GLIDDEN   PPG,0010479640,FRISCO,USA,TX,75034,750
,GLIDDEN   PPG,0010479697,IRVING,USA,TX,75060,750
,GLIDDEN   PPG,0010479736,LEWISVILLE,USA,TX,75067,750
,GLIDDEN   PPG,0010479792,MURPHY,USA,TX,75094,750
,GLIDDEN   PPG,0010479828,DUNCANVILLE,USA,TX,75137,751
,GLIDDEN   PPG,0010479861,BALCH SPRINGS,USA,TX,75180,751
,GLIDDEN   PPG,0010479875,DALLAS,USA,TX,75204,752
,GLIDDEN   PPG,0010480023,TYLER,USA,TX,75701,757
,GLIDDEN   PPG,0010480237,NORTH RICHLAND HILLS,USA,TX,76180,761
,GLIDDEN / PPG,0010479394,MIDLAND,USA,TX,79701,797
,GLIDDEN / PPG,0010480772,DENTON,USA,TX,76205,762
,GLIDDEN / PPG-1003 ANTOINE DR,0019053001,HOUSTON,USA,TX,77055,770
,GLIDDEN / PPG-14502 RICHMOND A,0019053002,HOUSTON,USA,TX,77082,770
,GLIDDEN / PPG-19053 INTERSTATE,0019053004,CONROE,USA,TX,77385,773
,GLIDDEN / PPG-3300B E T C JEST,0019053005,HOUSTON,USA,TX,77018,770
,GLIDDEN / PPG-4420 S PADRE ISL,0019053006,CORPUS CHRISTI,USA,TX,78411,784
,GLIDDEN / PPG-9115 BROADWAY ST,0019053007,SAN ANTONIO,USA,TX,78217,782
,GLIDDEN / PPG-9916 HIGHWAY 90,0019053008,SUGAR LAND,USA,TX,77478,774
,GLOBE LIFE JEWELL MM,0070586805,WACO,USA,TX,76712,767
,GLOBE LIFE JEWELL ORS,0070586505,WACO,USA,TX,76712,767
,GLOBE LIFE JEWELL VENDING,0070586403,WACO,USA,TX,76712,767
,GLOBE LIFE MCKINNEY MM,0070586803,MCKINNEY,USA,TX,75070,750
,GLOBE LIFE MCKINNEY ORS,0070586503,MCKINNEY,USA,TX,75070,750
,GLOBE LIFE MCKINNEY VENDING,0070586401,MCKINNEY,USA,TX,75070,750
,GLOBE LIFE WOODED ACRES MM,0070586804,WACO,USA,TX,76710,767
,GLOBE LIFE WOODED ACRES ORS,0070586504,WACO,USA,TX,76710,767
,GLOBE LIFE WOODED ACRES VEND,0070586402,WACO,USA,TX,76710,767
,GM OILFIELD TRUCKING SERVICES,0010479187,MIDLAND,USA,TX,79701,797
,GO INSURANCE,0010494083,EL PASO,USA,TX,79903,799
,GOLD STAR TRANSIT,0010480096,BURLESON,USA,TX,76028,760
,GOLD STAR TRUST,0010480605,CANYON,USA,TX,79015,790
,GOLDEN HAMMER LLC,0010479471,GOLDSMITH,USA,TX,79741,797
,GOLDEN PEANUT COMPANY,0010480670,SEMINOLE,USA,TX,79360,793
,GOLDEN SEAFOOD RESTAURANT-903,0019054001,HOUSTON,USA,TX,77023,770
,GOLDEN SPREAD ELECTRIC CO,0010479146,ABERNATHY,USA,TX,79311,793
,GOLDEN STEVES  AND GORDON-200,0019056001,SAN ANTONIO,USA,TX,78209,782
,GOLDSTAR TRANSIT-613 SPUR 515,0019057001,NAVASOTA,USA,TX,77868,778
,GONZABA MEDICAL GROUP MAIN-130,0019058001,SAN ANTONIO,USA,TX,78212,782
,GONZABA MEDICAL GROUP MAIN-131,0019058002,SAN ANTONIO,USA,TX,78207,782
,GONZABA MEDICAL GROUP MAIN-648,0019058003,SAN ANTONIO,USA,TX,78216,782
